"gene_id","lr","df","pvalue","adj_pvalue"
"FBgn0030056",2.83675256869901,2,0.242106810535507,0.780142703508652
"FBgn0030057",4.10952707514298,1,0.0426422850192811,0.347375669930124
"FBgn0030037",45.242483350396,2,1.49871676915847e-10,3.93345028414592e-08
"FBgn0030065",1.96489181857396,2,0.374394243678591,0.874135089148274
"FBgn0030067",3.82860782877833,1,0.0503847658585965,0.376592749554114
"FBgn0011586",0.176492749153113,1,0.674404804729375,0.988230580403201
"FBgn0030066",0.933125875282713,1,0.334051983475357,0.845250705825522
"FBgn0011661",11.9339816622087,2,0.00256193913888404,0.0564604449920474
"FBgn0026411",0.000584914410865167,1,0.980705039832765,0.999210074482202
"FBgn0027330",0.288466165420687,1,0.591205128178883,0.963754491842143
"FBgn0030060",7.53758926348382,3,0.0566004485457514,0.397580279687553
"FBgn0030082",0.492475979812298,1,0.482824900640866,0.934259710556422
"FBgn0052707",2.40820848083058,1,0.120700427844307,0.604934658511409
"FBgn0030089",9.86428195016197,2,0.00721104806844487,0.107198324027236
"FBgn0040467",3.64976355727777,1,0.0560771718510875,0.394865353985585
"FBgn0010269",0.665285237559146,1,0.414700233171915,0.893462368035313
"FBgn0030114",2.05741422935535,2,0.357468828134998,0.86462735378211
"FBgn0028292",0.0997820617826619,1,0.752091325306784,0.999210074482202
"FBgn0040234",1.75819978461141,1,0.18484921695288,0.713026307821757
"FBgn0000077",2.52465103794657,1,0.112079572778971,0.583015723626828
"FBgn0260789",0.820578935704361,1,0.36501095301729,0.871217689271237
"FBgn0030101",0.717275619915199,1,0.397039011787006,0.889154667155202
"FBgn0004856",1.02669394466648,1,0.310936431827757,0.831949470515972
"FBgn0030087",3.96927217140001,2,0.137430617984983,0.642423700391158
"FBgn0030077",2.15057992689617,1,0.142516049553201,0.656210263253735
"FBgn0001186",0.00408592391977436,1,0.94903294603729,0.999210074482202
"FBgn0028327",1.59072859340813,1,0.207222069036005,0.748748577355377
"FBgn0020378",0.188595197207178,1,0.664088403435106,0.986225936582897
"FBgn0030159",0.489292481172015,1,0.484243082224366,0.9347235323359
"FBgn0030160",0.561555854583276,1,0.453634043539604,0.911461626222567
"FBgn0026415",1.11167345912691,1,0.291718464788874,0.811444353820852
"FBgn0028341",13.5493140860908,3,0.00358745374963015,0.0704556392869541
"FBgn0030177",0.200206140912996,1,0.654554506449693,0.983046257131762
"FBgn0028342",0.447560225817142,1,0.503495847060383,0.944203723097813
"FBgn0085437",0.886656939672321,2,0.641896328874148,0.979954107482193
"FBgn0028480",3.38501511932918,1,0.0657915755569408,0.436644318696295
"FBgn0000711",0.11702476015671,1,0.732284051488116,0.999210074482202
"FBgn0030206",0.531338167090325,1,0.466044809013883,0.919666003843528
"FBgn0261710",12.7834506468207,2,0.00167536316310741,0.0420588995816616
"FBgn0030196",0.638297177680215,2,0.72676755173538,0.999210074482202
"FBgn0030183",0.582920129547347,1,0.445169994296862,0.90850392753277
"FBgn0052685",0.607417316759893,2,0.738075867348631,0.999210074482202
"FBgn0003204",2.57951688608591,2,0.275337284694118,0.798138137508968
"FBgn0052675",7.85659631727322,3,0.0490702893742198,0.374472225482027
"FBgn0030218",2.30357516865774,1,0.129076594500171,0.617983629058032
"FBgn0050295",3.86933091490891,2,0.144472592968863,0.657972487777262
"FBgn0034570",0.0215806091509876,1,0.883208267639559,0.999210074482202
"FBgn0003748",7.08608068445028,2,0.0289252505979502,0.279288289218335
"FBgn0016984",0.521258837099595,1,0.470305191387585,0.923137061304953
"FBgn0003162",6.12072868486234,1,0.0133605714791095,0.164696390357631
"FBgn0034611",0.127599154358904,1,0.720934421787417,0.999210074482202
"FBgn0020306",0.00434170689550228,1,0.947464104446428,0.999210074482202
"FBgn0050390",0.0506486912208857,1,0.8219383228829,0.999210074482202
"FBgn0050392",0.467222704135565,1,0.494267636779819,0.939401361016021
"FBgn0034606",1.4376921802359,1,0.230513161204639,0.770644936520711
"FBgn0050389",1.21537549559616,1,0.27027012585664,0.795544663426761
"FBgn0034590",8.66162568626714,1,0.00324981230891439,0.0670157723988274
"FBgn0003731",0.177550045918906,1,0.673487201516985,0.988230580403201
"FBgn0034641",1.21588683341542,1,0.270169375609476,0.795544663426761
"FBgn0034644",0.0293789940224087,1,0.863906883154272,0.999210074482202
"FBgn0034645",5.1911119469587,2,0.0746043864816207,0.459238515506267
"FBgn0050290",0.014650952152806,1,0.903658467455586,0.999210074482202
"FBgn0010228",0.816514846985228,1,0.366201117146911,0.871217689271237
"FBgn0027360",0.127037402518908,1,0.721523757373159,0.999210074482202
"FBgn0034638",1.74665214510014,1,0.186298158487278,0.714367366924998
"FBgn0034636",1.64778091201151,1,0.199261230117842,0.737522014551552
"FBgn0034634",0.11883910498409,1,0.730297000208698,0.999210074482202
"FBgn0010470",0.776033831658424,1,0.378356886403971,0.877362514898204
"FBgn0010415",0.359094339946751,3,0.948556758936585,0.999210074482202
"FBgn0004362",15.5721274388488,2,0.000415485135439425,0.0148087109384398
"FBgn0050404",1.24290579291846,2,0.537163427526798,0.951936284289483
"FBgn0002715",1.60744414740202,1,0.204851448652542,0.743907084603634
"FBgn0000008",0.00169844032870969,1,0.967126777071482,0.999210074482202
"FBgn0034708",0.191654349655437,1,0.661543268791676,0.985163600518273
"FBgn0020307",0.0948582858363807,1,0.758089390957449,0.999210074482202
"FBgn0034709",0.0138312275689714,1,0.906379660855442,0.999210074482202
"FBgn0243516",0.0582092962440584,2,0.971314812876807,0.999210074482202
"FBgn0034693",10.5960577427791,2,0.00500144268388617,0.0838271096076321
"FBgn0034688",3.82537827940951,1,0.0504819515335788,0.376592749554114
"FBgn0013272",0.289882232551463,1,0.590296008297852,0.96344943002063
"FBgn0034723",0.00441687349666608,1,0.947011950656173,0.999210074482202
"FBgn0034726",3.59276210142434,1,0.058031713539506,0.402734511991716
"FBgn0022985",1.22952346389502,2,0.540769728110299,0.952927455347202
"FBgn0003175",0.421358150423657,1,0.516260130456745,0.951936284289483
"FBgn0034729",2.30421551691177,1,0.129023406898269,0.617983629058032
"FBgn0022986",0.562918026735133,2,0.754681846908858,0.999210074482202
"FBgn0034718",1.14031789925593,1,0.285585163833907,0.807219575083965
"FBgn0034743",0.841078871395439,1,0.359088395283945,0.86462735378211
"FBgn0034744",1.48957098867322,1,0.222283035299753,0.759371758992234
"FBgn0034758",2.14202804230081,1,0.143312324675802,0.656420057039664
