"gene_id","feature_id","lr","df","pvalue","adj_pvalue"
"FBgn0032883","FBtr0081459",2.34774821664905,1,0.125464122761212,0.684458771260929
"FBgn0032883","FBtr0335147",2.34774821665178,1,0.125464122760993,0.684458771260929
"FBgn0032921","FBtr0081469",0.000961442877269292,1,0.97526384363422,1
"FBgn0032921","FBtr0343869",0.000961442877269292,1,0.97526384363422,1
"FBgn0032923","FBtr0081471",0.277155794155988,1,0.59857149855963,0.99959807656809
"FBgn0032923","FBtr0343870",0.277155794163264,1,0.59857149855483,0.99959807656809
"FBgn0032938","FBtr0081484",0.550007479843771,1,0.45831463788941,0.957204628381343
"FBgn0032938","FBtr0114602",NA,1,NA,NA
"FBgn0032938","FBtr0330678",0.270637927242205,1,0.602904166054367,0.999719716515086
"FBgn0032938","FBtr0330679",8.88450611715598,1,0.0028760083114807,0.0818952518849003
"FBgn0032935","FBtr0081487",1.7636506040426,1,0.184169822843062,0.773634072767002
"FBgn0032935","FBtr0331678",1.7636506040426,1,0.184169822843062,0.773634072767002
"FBgn0024371","FBtr0081501",0.616122672090569,1,0.432491785199204,0.949172188074846
"FBgn0024371","FBtr0346451",0.616122672090569,1,0.432491785199204,0.949172188074846
"FBgn0086251","FBtr0081502",0.529912860054083,1,0.466643497225011,0.958476350658874
"FBgn0086251","FBtr0333084",0.0108918806936344,1,0.916880352853409,1
"FBgn0086251","FBtr0333085",2.33995529139156,1,0.126093172845025,0.684458771260929
"FBgn0023388","FBtr0081503",0.00517198842499056,1,0.942668328779247,1
"FBgn0023388","FBtr0333086",0.00517198842862854,1,0.942668328759118,1
"FBgn0032910","FBtr0081507",7.27230366662832,1,0.00700259327916145,0.13210774715729
"FBgn0032910","FBtr0331376",2.6373371948236,1,0.104378358434631,0.634153028268758
"FBgn0032910","FBtr0331378",4.06130753412515,1,0.0438765130022601,0.408725193734747
"FBgn0032940","FBtr0081527",1.72730810376743,1,0.188755042964235,0.779440717242636
"FBgn0032940","FBtr0301457",0.0368515144691628,1,0.847767676605093,1
"FBgn0032940","FBtr0301458",1.94926323338404,1,0.162666266469793,0.747493714154295
"FBgn0032940","FBtr0301461",1.48844235342585,1,0.222458294846502,0.812852167538205
"FBgn0051146","FBtr0081541",0.673273726240268,1,0.411912560186195,0.938760785045498
"FBgn0051146","FBtr0305969",0.673273726240268,1,0.411912560186195,0.938760785045498
"FBgn0002306","FBtr0081570",1.04468411250127,1,0.306734568089803,0.874992509989337
"FBgn0002306","FBtr0334884",1.04468411250127,1,0.306734568089803,0.874992509989337
"FBgn0037491","FBtr0081598",2.33868913184779,1,0.126195708788041,0.684458771260929
"FBgn0037491","FBtr0339736",2.33868913184506,1,0.126195708788262,0.684458771260929
"FBgn0261238","FBtr0081612",3.33000537040971,1,0.0680266523879613,0.515365021184386
"FBgn0261238","FBtr0081614",NA,1,NA,NA
"FBgn0261238","FBtr0334675",41.2589471246592,1,1.33340111017336e-10,1.79609129540351e-07
"FBgn0000071","FBtr0081619",0.967732206852816,1,0.325246411887282,0.887981057722789
"FBgn0000071","FBtr0081620",0.967732206867367,1,0.325246411883644,0.887981057722789
"FBgn0037466","FBtr0081634",19.1878799823862,1,1.18463148577625e-05,0.00179610741182144
"FBgn0037466","FBtr0305315",1.36511091734974,1,0.242653675165949,0.83000127081903
"FBgn0037466","FBtr0334667",2.02499048265418,1,0.154729892860306,0.739037232372853
"FBgn0037468","FBtr0081635",0.0400761457858607,1,0.841331773474838,1
"FBgn0037468","FBtr0334668",0.0400761457858607,1,0.841331773474838,1
"FBgn0037467","FBtr0081643",8.96412608079481,1,0.00275332368768096,0.0796064541311128
"FBgn0037467","FBtr0305316",8.96412608079845,1,0.00275332368767548,0.0796064541311128
"FBgn0260642","FBtr0081647",0.997221118614107,1,0.317983851376391,0.884088756462292
"FBgn0260642","FBtr0081649",0.110204349304695,1,0.739911606898418,1
"FBgn0260642","FBtr0081652",-0.000480435352073982,1,1,1
"FBgn0260642","FBtr0081653",0.545604458895468,1,0.460119292798275,0.957204628381343
"FBgn0003339","FBtr0081657",0.140829659139854,1,0.707457608034302,1
"FBgn0003339","FBtr0081658",0.140829659161682,1,0.707457608012675,1
"FBgn0010355","FBtr0081684",1.31086430683899,1,0.252238227525409,0.836275206257599
"FBgn0010355","FBtr0081686",1.31086430683899,1,0.252238227525409,0.836275206257599
"FBgn0024912","FBtr0081697",1.49918727078602,1,0.2207964559352,0.812852167538205
"FBgn0024912","FBtr0347362",1.49918727078762,1,0.220796455934955,0.812852167538205
"FBgn0267698","FBtr0081714",0.0597373415366746,1,0.806911565459153,1
"FBgn0267698","FBtr0081715",0.0597373415366746,1,0.806911565459153,1
"FBgn0037442","FBtr0081720",4.05337719159434,1,0.0440830704986152,0.409516523873343
"FBgn0037442","FBtr0081721",1.68298572449021,1,0.194528191927568,0.788770242403475
"FBgn0037442","FBtr0113198",0.0987543312421622,1,0.753329637083235,1
"FBgn0037440","FBtr0081734",0.134757829535374,1,0.713549080754754,1
"FBgn0037440","FBtr0110774",0.134757829535374,1,0.713549080754754,1
"FBgn0037515","FBtr0081740",1.88925907516523,1,0.169285514300894,0.753561096375756
"FBgn0037515","FBtr0339180",1.88925907516523,1,0.169285514300894,0.753561096375756
"FBgn0037526","FBtr0081752",1.71751520747421,1,0.190013206750835,0.78175867285698
"FBgn0037526","FBtr0333826",1.71751520747512,1,0.190013206750718,0.78175867285698
"FBgn0024909","FBtr0081756",0.199263089157284,1,0.655316317822193,1
"FBgn0024909","FBtr0114520",0.199263089155465,1,0.655316317823664,1
"FBgn0000504","FBtr0081759",4.15140507851538,1,0.0415999907218286,0.397120575533851
"FBgn0000504","FBtr0330073",2.79244098743766,1,0.094709858846864,0.604044412247755
"FBgn0000504","FBtr0339710",0.071901083119883,1,0.788588652959032,1
"FBgn0014930","FBtr0081763",1.54373201764975,1,0.214063155550001,0.812852167538205
"FBgn0014930","FBtr0339712",1.54373201764611,1,0.214063155550541,0.812852167538205
"FBgn0004901","FBtr0081764",0.143606879459185,1,0.704721292968258,1
"FBgn0004901","FBtr0304705",0.143606879459185,1,0.704721292968258,1
"FBgn0037536","FBtr0081784",0.927470030996119,1,0.335521199988761,0.892922340190714
"FBgn0037536","FBtr0308075",0.146371821885623,1,0.702026970853184,1
"FBgn0037536","FBtr0335225",0.00373460563241679,1,0.951270474449695,1
"FBgn0037536","FBtr0335226",0.29755708639459,1,0.585417976737848,0.995643720523006
"FBgn0037543","FBtr0081787",7.41350965168931,1,0.00647359162449382,0.125299516137112
"FBgn0037543","FBtr0310411",7.41350965168931,1,0.00647359162449382,0.125299516137112
"FBgn0037554","FBtr0081798",0.378273320348853,1,0.538528777713409,0.980403176311116
"FBgn0037554","FBtr0339606",0.378273320347944,1,0.538528777713897,0.980403176311116
"FBgn0037555","FBtr0081807",2.12642413928916,1,0.144778158192132,0.726587850539498
"FBgn0037555","FBtr0100368",-0.434834671170393,1,1,1
"FBgn0037555","FBtr0334315",-0.108680635925339,1,1,1
"FBgn0001138","FBtr0081808",2.97305667677938,1,0.0846617473209221,0.571824853840208
"FBgn0001138","FBtr0300040",2.97305667677938,1,0.0846617473209221,0.571824853840208
"FBgn0037541","FBtr0300917",1.2083739635309,1,0.271654393507873,0.848864514777969
"FBgn0037541","FBtr0335229",1.2083739635309,1,0.271654393507873,0.848864514777969
"FBgn0037533","FBtr0081824",2.55410953381215,1,0.110007780626602,0.647641960244898
"FBgn0037533","FBtr0331342",2.55410953381215,1,0.110007780626602,0.647641960244898
"FBgn0037580","FBtr0081840",2.07947065969347,1,0.14929194083714,0.730182720424297
